tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,rank_diff,rank_pts_diff,age_diff,height_diff,w_ace_per_game,w_df_per_game,l_ace_per_game,l_df_per_game,w_1st_pct,w_1st_win_pct,w_bp_save_pct,l_1st_pct,l_1st_win_pct,l_bp_save_pct,match_length
2017-580,Australian Open,Hard,128,G,2017-01-16,120,106043,0.0,Unseeded,Diego Schwartzman,R,170.0,ARG,24.4,104655,22.0,Unseeded,Pablo Cuevas,R,180.0,URU,31.0,6-3 6-3 6-0,5,R128,82.0,6.0,4.0,72.0,42.0,30.0,22.0,12.0,3.0,4.0,7.0,6.0,80.0,44.0,25.0,13.0,12.0,2.0,9.0,54.0,867.0,22.0,1780.0,32.0,-913.0,-6.600000000000001,-10.0,0.46153846153846156,0.3076923076923077,0.5384615384615384,0.46153846153846156,0.5833333333333334,0.7142857142857143,0.75,0.55,0.5681818181818182,0.2222222222222222,1.3666666666666667
2017-580,Australian Open,Hard,128,G,2017-01-16,121,104327,0.0,Unseeded,Steve Darcis,R,178.0,BEL,32.8,105032,0.0,Unseeded,Sam Groth,R,193.0,AUS,29.2,3-6 6-3 6-2 6-2,5,R128,130.0,3.0,0.0,91.0,58.0,48.0,18.0,17.0,1.0,2.0,19.0,8.0,115.0,63.0,44.0,24.0,17.0,5.0,10.0,71.0,707.0,162.0,355.0,-91.0,352.0,3.599999999999998,-15.0,0.16666666666666666,0.0,1.0555555555555556,0.4444444444444444,0.6373626373626373,0.8275862068965517,0.5,0.5478260869565217,0.6984126984126984,0.5,2.1666666666666665
2017-580,Australian Open,Hard,128,G,2017-01-16,122,104312,0.0,Unseeded,Andreas Seppi,R,190.0,ITA,32.9,103908,0.0,Unseeded,Paul Henri Mathieu,R,185.0,FRA,35.0,6-4 7-6(4) 6-7(3) 7-5,5,R128,185.0,34.0,7.0,159.0,94.0,75.0,38.0,23.0,13.0,14.0,16.0,8.0,148.0,85.0,63.0,38.0,23.0,7.0,10.0,89.0,635.0,75.0,700.0,14.0,-65.0,-2.1000000000000014,5.0,1.4166666666666667,0.2916666666666667,0.6666666666666666,0.3333333333333333,0.5911949685534591,0.7978723404255319,0.9285714285714286,0.5743243243243243,0.7411764705882353,0.7,3.0833333333333335
2017-580,Australian Open,Hard,128,G,2017-01-16,123,106401,14.0,Unseeded,Nick Kyrgios,R,193.0,AUS,21.7,105671,0.0,Unseeded,Gastao Elias,R,180.0,POR,26.1,6-1 6-2 6-2,5,R128,84.0,8.0,3.0,64.0,37.0,30.0,21.0,12.0,0.0,0.0,4.0,3.0,67.0,34.0,20.0,13.0,11.0,5.0,11.0,13.0,2460.0,77.0,698.0,-64.0,1762.0,-4.400000000000002,13.0,0.6153846153846154,0.23076923076923078,0.3333333333333333,0.25,0.578125,0.8108108108108109,0.0,0.5074626865671642,0.5882352941176471,0.45454545454545453,1.4
2017-580,Australian Open,Hard,128,G,2017-01-16,124,104542,12.0,Unseeded,Jo-Wilfried Tsonga,R,188.0,FRA,31.7,106329,0.0,Unseeded,Thiago Monteiro,L,183.0,BRA,22.6,6-1 6-3 6-7(5) 6-2,5,R128,143.0,20.0,5.0,103.0,49.0,43.0,34.0,18.0,3.0,4.0,4.0,8.0,111.0,60.0,39.0,24.0,18.0,7.0,14.0,12.0,2505.0,83.0,664.0,-71.0,1841.0,9.099999999999998,5.0,1.0526315789473684,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.47572815533980584,0.8775510204081632,0.75,0.5405405405405406,0.65,0.5,2.3833333333333333
2017-580,Australian Open,Hard,128,G,2017-01-16,129,103607,0.0,Unseeded,Victor Estrella,R,173.0,DOM,36.4,105379,0.0,Unseeded,Aljaz Bedene,R,181.0,SLO,27.4,7-6(7) 7-5 0-6 6-3,5,R128,189.0,4.0,6.0,143.0,99.0,63.0,20.0,20.0,9.0,15.0,10.0,8.0,135.0,73.0,51.0,31.0,19.0,5.0,10.0,103.0,586.0,109.0,547.0,-6.0,39.0,9.0,-8.0,0.19047619047619047,0.2857142857142857,0.5,0.4,0.6923076923076923,0.6363636363636364,0.6,0.5407407407407407,0.6986301369863014,0.5,3.15
2017-580,Australian Open,Hard,128,G,2017-01-16,126,111575,0.0,Unseeded,Karen Khachanov,R,198.0,RUS,20.6,105173,0.0,Unseeded,Adrian Mannarino,L,180.0,FRA,28.5,6-4 3-6 7-6(9) 6-3,5,R128,166.0,32.0,4.0,126.0,76.0,66.0,25.0,20.0,5.0,6.0,8.0,1.0,142.0,91.0,65.0,29.0,20.0,7.0,10.0,52.0,875.0,61.0,781.0,-9.0,94.0,-7.899999999999999,18.0,1.5238095238095237,0.19047619047619047,0.38095238095238093,0.047619047619047616,0.6031746031746031,0.868421052631579,0.8333333333333334,0.6408450704225352,0.7142857142857143,0.7,2.7666666666666666
2017-580,Australian Open,Hard,128,G,2017-01-16,127,106058,23.0,Unseeded,Jack Sock,R,191.0,USA,24.3,105732,0.0,Unseeded,Pierre Hugues Herbert,R,188.0,FRA,25.8,6-4 7-6(4) 6-3,5,R128,132.0,10.0,6.0,105.0,69.0,56.0,15.0,16.0,5.0,6.0,14.0,4.0,104.0,68.0,49.0,16.0,15.0,9.0,12.0,20.0,1810.0,73.0,705.0,-53.0,1105.0,-1.5,3.0,0.5882352941176471,0.35294117647058826,0.875,0.25,0.6571428571428571,0.8115942028985508,0.8333333333333334,0.6538461538461539,0.7205882352941176,0.75,2.2
2017-580,Australian Open,Hard,128,G,2017-01-16,113,104534,0.0,Unseeded,Dudi Sela,R,175.0,ISR,31.7,104719,0.0,Unseeded,Marcel Granollers,R,191.0,ESP,30.7,5-7 6-3 6-2 6-0,5,R128,154.0,1.0,3.0,113.0,84.0,54.0,13.0,18.0,4.0,8.0,4.0,2.0,112.0,69.0,38.0,16.0,17.0,8.0,18.0,67.0,731.0,38.0,1123.0,29.0,-392.0,1.0,-16.0,0.05263157894736842,0.15789473684210525,0.2222222222222222,0.1111111111111111,0.7433628318584071,0.6428571428571429,0.5,0.6160714285714286,0.5507246376811594,0.4444444444444444,2.566666666666667
2017-580,Australian Open,Hard,128,G,2017-01-16,130,105554,0.0,Unseeded,Daniel Evans,R,175.0,GBR,26.6,105487,0.0,Unseeded,Facundo Bagnis,L,183.0,ARG,26.8,7-6(8) 6-3 6-1,5,R128,115.0,14.0,3.0,88.0,53.0,44.0,21.0,14.0,2.0,2.0,11.0,4.0,94.0,50.0,34.0,18.0,14.0,6.0,10.0,51.0,886.0,65.0,739.0,-14.0,147.0,-0.1999999999999993,-8.0,0.9333333333333333,0.2,0.7333333333333333,0.26666666666666666,0.6022727272727273,0.8301886792452831,1.0,0.5319148936170213,0.68,0.6,1.9166666666666667
2017-580,Australian Open,Hard,128,G,2017-01-16,150,105332,0.0,Unseeded,Benoit Paire,R,196.0,FRA,27.6,103163,0.0,Unseeded,Tommy Haas,R,188.0,GER,38.7,7-6(2) 6-4 RET,5,R128,97.0,22.0,4.0,74.0,43.0,35.0,16.0,11.0,1.0,2.0,4.0,5.0,84.0,45.0,25.0,24.0,11.0,3.0,5.0,47.0,960.0,53.0,,-6.0,,-11.100000000000001,8.0,1.8333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.581081081081081,0.813953488372093,0.5,0.5357142857142857,0.5555555555555556,0.6,1.6166666666666667
2017-580,Australian Open,Hard,128,G,2017-01-16,132,104792,6.0,Unseeded,Gael Monfils,R,193.0,FRA,30.3,106210,0.0,Unseeded,Jiri Vesely,L,198.0,CZE,23.5,6-2 6-3 6-2,5,R128,92.0,4.0,3.0,71.0,34.0,27.0,26.0,13.0,2.0,3.0,2.0,8.0,75.0,47.0,28.0,11.0,12.0,6.0,12.0,6.0,3625.0,53.0,873.0,-47.0,2752.0,6.800000000000001,-5.0,0.2857142857142857,0.21428571428571427,0.15384615384615385,0.6153846153846154,0.4788732394366197,0.7941176470588235,0.6666666666666666,0.6266666666666667,0.5957446808510638,0.5,1.5333333333333334
2017-580,Australian Open,Hard,128,G,2017-01-16,128,106071,27.0,Unseeded,Bernard Tomic,R,196.0,AUS,24.2,105064,0.0,Unseeded,Thomaz Bellucci,L,188.0,BRA,29.0,6-2 6-1 6-4,5,R128,97.0,12.0,2.0,70.0,44.0,39.0,17.0,13.0,3.0,3.0,10.0,3.0,83.0,53.0,33.0,12.0,12.0,7.0,12.0,27.0,1420.0,62.0,771.0,-35.0,649.0,-4.800000000000001,8.0,0.8571428571428571,0.14285714285714285,0.7692307692307693,0.23076923076923078,0.6285714285714286,0.8863636363636364,1.0,0.6385542168674698,0.6226415094339622,0.5833333333333334,1.6166666666666667
